k,bootstrap_ARI,silhouette
3,0.49777259360556025,0.067645363509655
4,0.4553276773024346,0.0748780369758606
5,0.3907697499419042,0.06283523887395859
6,0.31609620705712627,0.045726776123046875
7,0.37023309997309295,0.05359780043363571
8,0.3412746934786188,0.04181227460503578
9,0.35239681387176874,0.05145447701215744
