sim_threshold,margin_threshold,prevalence_threshold,n_terms,n_marker_groups,corpus_prevalence,rank_rho_vs_reported,setting
0.4,0.02,0.003,475,79,0.49517736149860503,0.947783251231527,
0.42,0.0,0.003,374,58,0.4431646074133121,0.9945812807881771,
0.42,0.02,0.003,354,56,0.42433240334794736,0.9999999999999998,reported
0.42,0.05,0.003,293,50,0.35970506177760064,0.9315270935960588,
0.45,0.02,0.003,199,41,0.3212634515743324,0.9783251231527093,
0.42,0.02,0.001,354,133,0.45685532084495817,0.987684729064039,
0.42,0.02,0.005,354,44,0.41301315265045835,0.9985221674876845,
