,r_sb,lo,hi
H_any,0.9267325250264212,0.8561952625608424,0.9695706722282668
H_conduct,0.93169816807706,0.8500089956439996,0.970383785729106
H_ambience,0.8531277299762235,0.7186336644257186,0.9384359370733294
H_development,0.8456976811577998,0.7190845973580299,0.9344192926726628
SQpos_flag,0.9138125008731353,0.8276436361801756,0.96164684917645
DQpos_flag,0.9397828063593615,0.8768757568508031,0.9734093071422953
